A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,38,1430934844709,"[""TEST"", 92.28831282557272, 0.35687181358638626, ""C"", ""C"", true, 750]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,39,1430934845285,"[""TEST"", 183.1825067222493, 0.0071021612244031775, ""D"", ""C"", false, 575]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,40,1430934846117,"[""TEST"", 262.86097610620004, 1.5158113031873361, ""D"", ""D"", true, 831]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,41,1430934847062,"[""TEST"", 195.12023349072822, 0.3483383845007274, ""D"", ""D"", true, 944]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,42,1430934848358,"[""TEST"", 121.43290999324307, 0.5967383091294163, ""C"", ""D"", false, 1295]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,43,1430934849062,"[""TEST"", 65.45333139758269, 0.737289320464548, ""C"", ""D"", false, 703]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,44,1430934849606,"[""TEST"", 67.9701412411524, 0.035091963143369626, ""C"", ""C"", true, 544]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,45,1430934851030,"[""TEST"", 251.38530778527758, 0.7211376158768478, ""D"", ""C"", false, 1424]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,46,1430934851750,"[""TEST"", 110.86988409564032, 0.4261544383593292, ""C"", ""C"", true, 720]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,47,1430934851750,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/category-switch.html""], ""action"": ""Begin""}"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,48,1430934854176,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 2425, ""action"": ""FinishInstructions"", ""template"": ""instructions/category-switch.html""}"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,49,1430934858917,"[""TRAINING"", 90.95892676355217, 1.221265248659424, ""B"", ""A"", false, 4733]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,50,1430934861029,"[""TRAINING"", 216.86689388806383, 0.8226209984673571, ""A"", ""A"", true, 2111]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,51,1430934863205,"[""TRAINING"", 296.09867458978056, 1.1487327240894074, ""A"", ""B"", false, 2175]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,52,1430934864069,"[""TRAINING"", 248.52256221622434, 0.5222073198186433, ""B"", ""A"", false, 862]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,53,1430934864934,"[""TRAINING"", 196.01044951729318, 1.386600483049405, ""A"", ""A"", true, 864]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,54,1430934869222,"[""TRAINING"", 144.59626745946974, 0.3712392288071492, ""B"", ""A"", false, 4287]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,55,1430934871414,"[""TRAINING"", 133.28761586663117, 1.4260335241698592, ""A"", ""A"", true, 2192]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,56,1430934872454,"[""TRAINING"", 119.46839185501722, 0.19454150201829046, ""B"", ""B"", true, 1040]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,57,1430934874725,"[""TRAINING"", 234.01220166183532, 1.3285571967803027, ""A"", ""A"", true, 2271]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,58,1430934876581,"[""TRAINING"", 77.8154417947072, 0.7719867330382918, ""B"", ""B"", true, 1855]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,59,1430934877669,"[""TRAINING"", 223.84380729573485, 1.366046638342697, ""A"", ""A"", true, 1087]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,60,1430934878917,"[""TRAINING"", 177.71517952125984, 1.0905247928554558, ""A"", ""A"", true, 1247]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,61,1430934880165,"[""TRAINING"", 97.99649106334168, 1.1473691179725647, ""B"", ""A"", false, 1247]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,62,1430934881637,"[""TRAINING"", 91.20368501658444, 0.9943670151395521, ""B"", ""A"", false, 1471]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,63,1430934882342,"[""TRAINING"", 97.98111821417227, 0.6267947652482703, ""B"", ""B"", true, 704]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,64,1430934883174,"[""TRAINING"", 172.50381158660883, 1.4205227174822053, ""A"", ""A"", true, 831]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,65,1430934883734,"[""TRAINING"", 176.0280582808084, 1.4152387611626396, ""A"", ""A"", true, 560]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,66,1430934884262,"[""TRAINING"", 135.67333081173794, 0.38331334374836584, ""B"", ""B"", true, 528]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,67,1430934885381,"[""TRAINING"", 168.105274925436, 1.312121811205318, ""A"", ""B"", false, 1119]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,68,1430934886949,"[""TRAINING"", 88.15261422532615, 0.6206318625467026, ""B"", ""B"", true, 1568]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,69,1430934886949,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/training-switch.html""], ""action"": ""Begin""}"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,70,1430934889095,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 2145, ""action"": ""FinishInstructions"", ""template"": ""instructions/training-switch.html""}"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,71,1430934890020,"[""TEST"", 113.88767732668512, 0.7060384455415735, ""B"", ""B"", true, 919]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,72,1430934890709,"[""TEST"", 251.337628131754, 0.9581657024256715, ""A"", ""B"", false, 687]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,73,1430934891701,"[""TEST"", 220.91727985117788, 0.07467281959116034, ""B"", ""B"", true, 991]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,74,1430934892276,"[""TEST"", 293.1806394491635, 1.480199707952838, ""A"", ""A"", true, 575]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,75,1430934893044,"[""TEST"", 245.31188909594385, 0.3290111647163467, ""B"", ""B"", true, 767]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,76,1430934893653,"[""TEST"", 122.17104296548166, 0.2710054104426985, ""B"", ""B"", true, 608]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,77,1430934894468,"[""TEST"", 62.738697683077106, 0.834451552371544, ""B"", ""B"", true, 814]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,78,1430934895124,"[""TEST"", 73.90864825063845, 0.5015484815433865, ""B"", ""B"", true, 655]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,79,1430934896004,"[""TEST"", 176.45574799053946, 1.5124747323768113, ""A"", ""A"", true, 879]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,80,1430934896900,"[""TEST"", 129.38056209511734, 1.1270590232392097, ""A"", ""A"", true, 895]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,81,1430934897540,"[""TEST"", 202.53953790425254, 1.3148772932674957, ""A"", ""A"", true, 639]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,82,1430934898020,"[""TEST"", 113.52154441301516, 0.1333506533860248, ""B"", ""B"", true, 479]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,83,1430934899413,"[""TEST"", 207.6894554374586, 1.2805386381498194, ""A"", ""B"", false, 1392]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,84,1430934900069,"[""TEST"", 178.87857006554034, 1.1896625119880972, ""A"", ""B"", false, 655]"
